RS6426_MB_v10_BRD_20241106
Net,PE5_SLOT4_TXN1,33.600:0.000:15.000:15.000:0.000:33.600,5.000,8.000,5.000,5.000
Net,PE5_AM5_SLOT4_TXP1,33.600:0.000:15.000:15.000:0.000:33.600,5.000,8.000,5.000,5.000
Net,PE5_SLOT4_TXP1,33.600:0.000:15.000:15.000:0.000:33.600,5.000,8.000,5.000,5.000
Net,PE5_AM5_SLOT4_TXN2,33.600:0.000:15.000:15.000:0.000:33.600,5.000,8.000,5.000,5.000
Net,PE5_SLOT4_TXN2,33.600:0.000:15.000:15.000:0.000:33.600,5.000,8.000,5.000,5.000
Net,PE5_AM5_SLOT4_TXP2,33.600:0.000:15.000:15.000:0.000:33.600,5.000,8.000,5.000,5.000
Net,PE5_SLOT4_TXP2,33.600:0.000:15.000:15.000:0.000:33.600,5.000,8.000,5.000,5.000
Net,PE5_AM5_SLOT4_TXN3,33.600:0.000:15.000:15.000:0.000:33.600,5.000,8.000,5.000,5.000
Net,PE5_SLOT4_TXN3,33.600:0.000:15.000:15.000:0.000:33.600,5.000,8.000,5.000,5.000
Net,PE5_AM5_SLOT4_TXP3,33.600:0.000:15.000:15.000:0.000:33.600,5.000,8.000,5.000,5.000
Net,PE5_SLOT4_TXP3,33.600:0.000:15.000:15.000:0.000:33.600,5.000,8.000,5.000,5.000
Net,PE5_AM5_SLOT4_TXN5,33.600:0.000:15.000:15.000:0.000:33.600,5.000,8.000,5.000,5.000
Net,PE5_SLOT4_TXN5,33.600:0.000:15.000:15.000:0.000:33.600,5.000,8.000,5.000,5.000
Net,PE5_AM5_SLOT4_TXP5,33.600:0.000:15.000:15.000:0.000:33.600,5.000,8.000,5.000,5.000
Net,PE5_SLOT4_TXP5,33.600:0.000:15.000:15.000:0.000:33.600,5.000,8.000,5.000,5.000
Net,PE5_AM5_SLOT4_TXN6,33.600:0.000:15.000:15.000:0.000:33.600,5.000,8.000,5.000,5.000
Net,PE5_SLOT4_TXN6,33.600:0.000:15.000:15.000:0.000:33.600,5.000,8.000,5.000,5.000
Net,PE5_AM5_SLOT4_TXP6,33.600:0.000:15.000:15.000:0.000:33.600,5.000,8.000,5.000,5.000
Net,PE5_SLOT4_TXP6,33.600:0.000:15.000:15.000:0.000:33.600,5.000,8.000,5.000,5.000
